id,prompt,intent,entity,type,digit
88,Kode KBLI buat usaha konstruksi gedung?,cari kode,usaha konstruksi gedung,KBLI,null
89,Kode KBLI buat usaha manufaktur itu berapa digit?,cari kode,usaha manufaktur,KBLI,5
90,Kode KBJI buat pekerjaan dokter gigi?,cari kode,dokter gigi,KBJI,null
91,Cara mengatur pola makan yang sehat gimana?,lainnya,null,null,null
92,Jelaskan kode KBLI 73100 untuk periklanan,jelaskan kode,73100,KBLI,5
93,"Gue punya toko kelontong, perlu kode KBLI nggak?",lainnya,null,KBLI,null
94,Kode KBJI buat pekerjaan fotografer gimana?,cari kode,fotografer,KBJI,null
95,"Bro, tahu nggak kode KBLI buat usaha jualan es krim keliling?",cari kode,usaha es krim keliling,KBLI,null
96,"assistant: <MSG>...penjelasan kode kbli buat restoran...</MSG>
user: <MSG>kode 5 digitnya dong</MSG>",cari kode,restoran,KBLI,5
97,Apa saja yang dicakup oleh kode KBJI 2136?,jelaskan kode,2136,KBJI,4
98,Apa saja pekerjaan dalam kode KBJI 3117?,jelaskan kode,3117,KBJI,4
99,Apa kode KBJI untuk pekerjaan mekanik mobil?,cari kode,mengar mobil,KBJI,null
100,Apakah ada kode KBJI untuk pekerjaan sebagai penjaga kutub utara?,cari kode,penjaga kutub utara,KBJI,null
101,Gimana cara membuat presentasi yang menarik?,lainnya,null,null,null
102,Harga iPhone terbaru berapa?,lainnya,null,null,null
103,Pekerjaan apa yang tidak termasuk dalam cakupan KBLI?,lainnya,null,KBLI,null
104,Tren fashion tahun ini apa aja?,lainnya,null,null,null
105,Apa saja pekerjaan yang masuk dalam KBJI 5311?,jelaskan kode,5311,KBJI,4
106,"Saya ingin membuka usaha taman dinosaurus, apakah ada kode KBLI yang sesuai?",cari kode,taman dinosaurus,KBLI,null
107,Apakah ada kode KBJI untuk pekerjaan sebagai pengendali cuaca?,cari kode,pengendali cuaca,KBJI,null
108,Jelaskan kode KBLI 69200 untuk akuntansi,jelaskan kode,69200,KBLI,5
109,Kode KBLI buat usaha distribusi barang?,cari kode,usaha distribusi barang,KBLI,null
110,Jenis pekerjaan apa saja yang tercakup dalam KBLI 73200?,jelaskan kode,73200,KBLI,5
111,Jelaskan kode KBLI 46201 untuk pertanian,jelaskan kode,46201,KBLI,5
112,Saya ingin memperluas usaha katering saya. Bagaimana cara mencari kode KBLI yang sesuai?,lainnya,null,KBLI,null
113,Kode KBLI untuk usaha e-commerce apa?,cari kode,usaha e-commerce,KBLI,null
114,Apa saja yang termasuk dalam kode KBJI 5413?,jelaskan kode,5413,KBJI,4
115,Siapa yang menetapkan KBJI dan KBLI?,lainnya,null,semua,null
116,Detail tentang kode KBLI 33130 apa saja?,jelaskan kode,33130,KBLI,5
117,"assistant: <MSG>...penjelasan kode kbli untuk konstruksi...</MSG>
user: <MSG>berikan kode 5 digitnya</MSG>",cari kode,konstruksi,KBLI,5
118,Apakah ada akibat hukum jika tidak memakai KBJI atau KBLI?,lainnya,null,semua,null
119,Apa saja yang termasuk dalam kode KBJI 9321?,jelaskan kode,9321,KBJI,4
120,Kode KBLI buat usaha konveksi baju gimana?,cari kode,usaha konveksi baju,KBLI,null
121,Apa manfaat dari tidur yang cukup?,lainnya,null,null,null
122,Kode KBJI buat desainer interior apa ya?,cari kode,desainer interior,KBJI,null
123,Kode KBJI buat pekerjaan pembuat kue?,cari kode,pembuat kue,KBJI,null
124,Gimana caranya tau usaha pelatihan perlu kode KBLI?,lainnya,null,KBLI,null
125,Kenapa langit berwarna biru?,lainnya,null,null,null
126,Bagaimana cara menjaga kesehatan jantung?,lainnya,null,null,null
127,Apa saja pekerjaan dalam kode KBJI 3116?,jelaskan kode,3116,KBJI,4
128,Jelaskan kode KBLI 64201 untuk investasi,jelaskan kode,64201,KBLI,5
129,"Kalau nggak pakai KBJI atau KBLI, kena sanksi nggak sih?",lainnya,null,semua,null
130,Bagaimana cara belajar bahasa Spanyol?,lainnya,null,null,null
131,apa itu kbli dalam bisnis?,lainnya,null,KBLI,null
132,Jelaskan kode KBLI 81210 untuk kebersihan,jelaskan kode,81210,KBLI,5
133,Kode KBLI buat usaha salon kecantikan gimana?,cari kode,usaha salon kecantikan,KBLI,null
134,Cara buat akun Instagram gimana?,lainnya,null,null,null
135,Apakah Mars bisa dihuni manusia?,lainnya,null,null,null
136,Kode KBLI buat usaha bakery gimana?,cari kode,usaha bakery,KBLI,null
137,Bagaimana cara membuat soto ayam?,lainnya,null,null,null
138,Detail lengkap kode KBLI 66191 apa saja?,jelaskan kode,66191,KBLI,5
139,Kode KBLI untuk usaha penyedia jasa teleportasi apa?,cari kode,jasa teleportasi,KBLI,null
140,Aplikasi edit foto yang bagus apa aja?,lainnya,null,null,null
141,Kode KBLI apa yang digunakan untuk usaha salon kecantikan?,cari kode,usaha salon kecantikan,KBLI,null
142,apa definisi dari kbli?,lainnya,null,KBLI,null
143,Apa itu blockchain dan cara kerjanya?,lainnya,null,null,null
144,Sebutan kode KBLI 4711 itu untuk jenis usaha apa?,jelaskan kode,4711,KBLI,4
145,Apakah ada sanksi jika tidak menggunakan KBJI atau KBLI dalam bisnis?,lainnya,null,semua,null
146,Apa saja yang dicakup oleh kode KBJI 2135?,jelaskan kode,2135,KBJI,4
147,Apakah ada kode KBJI untuk pekerjaan sebagai penulis kode Matrix?,cari kode,penulis kode Matrix,KBJI,null
148,Apakah ada kode KBJI untuk peternak kambing?,cari kode,peternak kambing,KBJI,null
149,Kode KBLI untuk usaha penangkap energi matahari apa?,cari kode,penangkap energi matahari,KBLI,null
150,Kode KBLI buat usaha pengolahan limbah?,cari kode,usaha pengolahan limbah,KBLI,null
151,Bagaimana cara merawat kulit berjerawat?,lainnya,null,null,null
152,Jelaskan kode KBLI 56100 untuk usaha makanan,jelaskan kode,56100,KBLI,5
153,Berapa kode KBLI untuk bisnis real estate di dunia paralel?,cari kode,real estate dunia paralel,KBLI,null
154,Bagaimana cara membuat teleportasi?,lainnya,null,null,null
155,Apa saja pekerjaan dalam kode KBJI 7221?,jelaskan kode,7221,KBJI,4
156,Kode KBJI untuk pekerjaan arsitek ada nggak?,cari kode,arsitek,KBJI,null
157,"assistant: <MSG>...penjelasan rinci...</MSG>
user: <MSG>Wah, makasih ya</MSG>",lainnya,null,null,null
158,Kode KBLI untuk usaha ritel apa?,cari kode,usaha ritel,KBLI,null
159,Kode KBJI 2142 mencakup profesi apa?,jelaskan kode,2142,KBJI,4
160,"Saya punya toko kelontong, apakah perlu kode KBLI?",lainnya,null,KBLI,null
161,Apa beda antara KBJI dan KBLI dan pentingnya?,lainnya,null,semua,null
162,Apa saja jenis olahraga kardio?,lainnya,null,null,null
163,Saya ingin mempekerjakan akuntan. Adakah kode KBJI yang relevan?,cari kode,akuntan,KBJI,null
164,Gimana cara menyimpan daging di freezer?,lainnya,null,null,null
165,Kode KBLI buat usaha toko mainan gimana?,cari kode,usaha toko mainan,KBLI,null
166,Apa saja yang termasuk dalam kode KBJI 8321?,jelaskan kode,8321,KBJI,4
167,Fakta menarik tentang anjing Chihuahua?,lainnya,null,null,null
168,Berapa digit kode KBLI untuk usaha sihir modern?,cari kode,usaha sihir modern,KBLI,5
169,Film terbaru di bioskop apa aja nih?,lainnya,null,null,null
170,Kode KBJI buat tukang bangunan ada nggak?,cari kode,tukang bangunan,KBJI,null
171,Bagaimana cara memulai bisnis startup?,lainnya,null,null,null
172,Apa itu KBLI dalam bisnis?,lainnya,null,KBLI,null
173,Apa saja gejala diabetes?,lainnya,null,null,null
174,Cara merawat tanaman indoor gimana?,lainnya,null,null,null
175,Perbedaan KBJI sama KBLI apaan sih? Penting nggak?,lainnya,null,semua,null
176,Apa saja yang termasuk dalam kode KBJI 6113?,jelaskan kode,6113,KBJI,4
177,Siapa yang bertanggung jawab menerbitkan KBJI dan KBLI?,lainnya,null,semua,null
178,Apa saja pekerjaan yang termasuk dalam KBJI 9322?,jelaskan kode,9322,KBJI,4
179,Detail lengkap kode KBLI 87302 apa saja?,jelaskan kode,87302,KBLI,5
180,Tips menabung untuk liburan gimana?,lainnya,null,null,null
181,Apa saja jenis-jenis kopi?,lainnya,null,null,null
182,Apakah KBLI relevan untuk usaha kecil?,lainnya,null,KBLI,null
183,Kode KBLI buat usaha manufaktur plastik?,cari kode,usaha manufaktur plastik,KBLI,null
184,Cara memperbaiki keran yang bocor gimana?,lainnya,null,null,null
185,Jelaskan kode KBLI 70200 untuk konsultasi,jelaskan kode,70200,KBLI,5
186,Apa saja yang dicakup oleh kode KBJI 2141?,jelaskan kode,2141,KBJI,4
187,Bagaimana cara membuat es krim homemade?,lainnya,null,null,null
188,Kode KBLI buat usaha peternakan kambing?,cari kode,usaha peternakan kambing,KBLI,null
189,"Saya ingin memulai bisnis jasa, bagaimana cara mengetahui kode KBJI atau KBLI yang tepat?",lainnya,null,semua,null
190,Saya ingin mempekerjakan desainer interior. Adakah kode KBJI yang relevan?,cari kode,desainer interior,KBJI,null
191,Trik mengatur keuangan pribadi gimana?,lainnya,null,null,null
192,Berapa digit kode KBLI untuk usaha pertambangan?,cari kode,usaha pertambangan,KBLI,5
193,Cara mengajukan pinjaman ke bank gimana?,lainnya,null,null,null
194,Bagaimana cara membuat rendang padang?,lainnya,null,null,null
195,Apakah ada kode KBJI untuk profesi penulis?,cari kode,profesi penulis,KBJI,null
196,Bagaimana cara memulai bisnis makanan?,lainnya,null,null,null
197,Langkah-langkah membersihkan sepatu sneakers?,lainnya,null,null,null
198,Tips menjaga kesehatan gigi dan mulut?,lainnya,null,null,null
199,Tips menjaga kesehatan mata?,lainnya,null,null,null
200,Lokasi wisata di Bali yang wajib dikunjungi?,lainnya,null,null,null
201,Gimana cara merawat anjing golden retriever?,lainnya,null,null,null
202,Kode KBJI buat pekerjaan pembuat kopi?,cari kode,pembuat kopi,KBJI,null
203,Profesi desainer grafis masuk kode KBJI apa ya?,cari kode,desainer grafis,KBJI,null
204,Apakah KBJI tercantum dalam undang-undang?,lainnya,null,KBJI,null
205,Bagaimana cara membuat kue bolu?,lainnya,null,null,null
206,Kode KBJI buat pekerjaan pengacara ada?,cari kode,pengacara,KBJI,null
207,Apa manfaat meditasi setiap hari?,lainnya,null,null,null
208,Bagaimana cara merawat kucing?,lainnya,null,null,null
209,Kode KBLI buat usaha bengkel ada nggak?,cari kode,usaha bengkel,KBLI,null
210,Bagaimana cara membuat website dari nol?,lainnya,null,null,null
211,Bagaimana mengetahui apakah usaha pelatihan saya perlu kode KBLI?,lainnya,null,KBLI,null
212,Tips sukses wawancara kerja gimana?,lainnya,null,null,null
213,Apakah ada kode KBJI untuk pekerjaan sebagai penyelam mutiara di Antartika?,cari kode,penyelam mutiara Antartika,KBJI,null
214,Detail tentang kode KBLI 11010 apa saja?,jelaskan kode,11010,KBLI,5
215,Apakah ada kode KBJI untuk pekerjaan sebagai penjelajah antariksa?,cari kode,penjelajah antariksa,KBJI,null
216,Apa saja yang dicakup oleh kode KBJI 2137?,jelaskan kode,2137,KBJI,4
217,Siapa presiden Amerika Serikat saat ini?,lainnya,null,null,null
218,Kerjaan apa aja yang termasuk dalam KBLI 56100?,jelaskan kode,56100,KBLI,5
219,KBLI 6201 itu buat usaha apa?,jelaskan kode,6201,KBLI,4
220,Kapan sih hari kemerdekaan Indonesia?,lainnya,null,null,null
221,Apa perbedaan antara KBJI dan KBLI dan mengapa penting?,lainnya,null,semua,null
222,Kode KBJI 4214 mencakup pekerjaan apa?,jelaskan kode,4214,KBJI,4
223,Kode KBLI buat usaha penyewaan alat pesta?,cari kode,usaha penyewaan alat pesta,KBLI,null
224,Resep salad sayur yang segar gimana?,lainnya,null,null,null
225,Kode KBLI buat usaha warung makan apa?,cari kode,usaha warung makan,KBLI,null
226,Kode KBLI buat usaha tour dan travel apa?,cari kode,usaha tour dan travel,KBLI,null
227,Cara memulai usaha dropshipping gimana?,lainnya,null,null,null
228,Gimana cara masak rendang yang enak?,lainnya,null,null,null
229,Kode KBLI untuk usaha jasa konstruksi apa?,cari kode,usaha jasa konstruksi,KBLI,null
230,Berapa kode KBLI untuk usaha pertanian?,cari kode,usaha pertanian,KBLI,null
231,Jelaskan kode KBLI 64130 untuk keuangan,jelaskan kode,64130,KBLI,5
232,Jelaskan kode KBLI 56301 untuk bar dan pub,jelaskan kode,56301,KBLI,5
233,Cara membuat keripik kentang homemade?,lainnya,null,null,null
234,Bagaimana cara menghilangkan kebiasaan buruk?,lainnya,null,null,null
235,Bagaimana cara memelihara naga?,lainnya,null,null,null
236,Penjelasan tentang KBLI 6201 itu apa?,jelaskan kode,6201,KBLI,4
237,Kode KBLI buat bisnis butik apa ya?,cari kode,bisnis butik,KBLI,null
238,Bagaimana cara menanam sayuran di rumah?,lainnya,null,null,null
239,KBJI termasuk dalam kebijakan nasional nggak sih?,lainnya,null,KBJI,null
240,Apakah ada kode KBJI untuk pekerjaan sebagai arsitek dunia maya?,cari kode,arsitek dunia maya,KBJI,null
241,Kode KBJI buat pekerjaan pengembang web?,cari kode,pengembang web,KBJI,null
242,Jelaskan kode KBLI 46412 untuk grosir,jelaskan kode,46412,KBLI,5
243,Kode KBLI buat usaha bengkel sepeda motor?,cari kode,usaha bengkel sepeda motor,KBLI,null
244,"Saya punya warung makan, apakah saya perlu mendaftarkan kode KBLI?",lainnya,null,KBLI,null
245,Kode KBLI buat usaha produksi film apa?,cari kode,usaha produksi film,KBLI,null
246,Gimana caranya tau usaha jasa perlu kode KBLI nggak?,lainnya,null,KBLI,null
247,Apa itu VR dan bagaimana cara kerjanya?,lainnya,null,null,null
248,Jenis pekerjaan apa yang nggak masuk KBLI?,lainnya,null,KBLI,null
249,Apa itu KBJI dan KBLI?,lainnya,null,semua,null
250,Kode KBJI 8412 mencakup pekerjaan apa?,jelaskan kode,8412,KBJI,4
251,Kode KBLI buat usaha sewa mobil apa?,cari kode,usaha sewa mobil,KBLI,null
252,Kode KBJI buat pekerjaan teknisi listrik?,cari kode,teknisi listrik,KBJI,null
253,Apa itu mindfulness dan manfaatnya?,lainnya,null,null,null
254,Apa itu efek rumah kaca?,lainnya,null,null,null
255,Jenis pekerjaan apa yang termasuk dalam KBLI 84120?,jelaskan kode,84120,KBLI,5
256,Kode KBJI buat pekerjaan manajer proyek ada?,cari kode,manajer proyek,KBJI,null
257,Penjelasan tentang KBLI 5821 apa?,jelaskan kode,5821,KBLI,4
258,Apa saja yang termasuk dalam kode KBJI 2131?,jelaskan kode,2131,KBJI,4
259,Kode KBJI buat pekerjaan ahli bedah?,cari kode,ahli bedah,KBJI,null
260,Jelaskan kode KBLI 52100 untuk logistik,jelaskan kode,52100,KBLI,5
261,Kode KBJI 5312 mencakup profesi apa?,jelaskan kode,5312,KBJI,4
262,Kode KBJI 4212 itu buat kerjaan apa aja?,jelaskan kode,4212,KBJI,4
263,Siapa yang menetapkan kode KBLI untuk planet lain?,lainnya,null,KBLI,null
264,Kapan Proklamasi Kemerdekaan Indonesia?,lainnya,null,null,null
265,Kode KBLI untuk usaha pabrik coklat ajaib apa?,cari kode,pabrik coklat ajaib,KBLI,null
266,Lokasi restoran sushi terbaik di Tokyo?,lainnya,null,null,null
267,Detail tentang kode KBLI 51202 apa saja?,jelaskan kode,51202,KBLI,5
268,Kode KBLI untuk usaha makanan alien apa?,cari kode,makanan alien,KBLI,null
269,Apakah KBLI berguna untuk saya?,lainnya,null,KBLI,null
270,Bagaimana cara membuat kue lapis legit?,lainnya,null,null,null
271,Bagaimana cara mengetahui apakah bisnis jasa saya memerlukan kode KBLI?,lainnya,null,KBLI,null
272,Kode KBJI buat pekerjaan instruktur yoga?,cari kode,instruktur yoga,KBJI,null
273,Gimana cara investasi saham untuk pemula?,lainnya,null,null,null
274,"assistant: <MSG>...penjelasan panjang...</MSG>
user: <MSG>Terima kasih atas bantuannya</MSG>",lainnya,null,null,null
275,KBLI itu penting nggak buat usaha kecil?,lainnya,null,KBLI,null
276,Detail tentang kode KBLI 42900 apa saja?,jelaskan kode,42900,KBLI,5
277,Apa kegunaan dari KBJI dan KBLI?,lainnya,null,semua,null
278,Tips agar tidur lebih nyenyak gimana?,lainnya,null,null,null
279,Apa saja pekerjaan dalam kode KBJI 2133?,jelaskan kode,2133,KBJI,4
280,Bagaimana cara memelihara hewan dari dimensi lain?,lainnya,null,null,null
281,Cara merawat kucing anggora gimana ya?,lainnya,null,null,null
282,"Saya punya usaha cuci mobil, apakah perlu kode KBLI?",lainnya,null,KBLI,null
283,"Saya ingin memulai bisnis baru, bagaimana cara mengetahui kode KBJI atau KBLI yang cocok?",lainnya,null,semua,null
284,Apa kode KBLI untuk usaha penyewaan pesawat luar angkasa?,cari kode,penyewaan pesawat luar angkasa,KBLI,null
285,Kode KBLI untuk usaha pertanian di bulan apa?,cari kode,pertanian di bulan,KBLI,null
286,Apakah ada kode KBJI untuk pekerjaan sebagai pengamat galaksi?,cari kode,pengamat galaksi,KBJI,null
287,"Kalau mau jualan kopi kekinian, kodenya apa ya di KBLI?",cari kode,jualan kopi kekinian,KBLI,null
288,"Kalau nyari teknisi komputer, ada nggak kode KBJI yang cocok?",cari kode,teknisi komputer,KBJI,null
289,Cara memotret dengan smartphone biar keren?,lainnya,null,null,null
290,Apakah ada kode KBJI untuk pekerjaan sebagai kapten kapal luar angkasa?,cari kode,kapten kapal luar angkasa,KBJI,null
291,Kode KBJI buat pekerjaan editor majalah?,cari kode,editor majalah,KBJI,null
292,Berapa digit kode KBLI untuk usaha manufaktur?,cari kode,usaha manufaktur,KBLI,5
293,"Gue punya kebun di kampung, usaha pertanian kecil-kecilan, perlu daftar KBLI nggak sih?",lainnya,null,KBLI,null
294,Kode KBJI untuk pekerjaan jurnalis ada nggak?,cari kode,jurnalis,KBJI,null
295,Tanggal berapa Hari Kemerdekaan Indonesia?,lainnya,null,null,null
296,Apa beda KBJI dan KBLI? Penting nggak sih buat bisnis?,lainnya,null,semua,null
297,Kode KBLI untuk usaha robot pembantu rumah tangga apa?,cari kode,robot pembantu rumah tangga,KBLI,null
298,Kode KBJI buat pekerjaan pemandu wisata?,cari kode,pemandu wisata,KBJI,null
299,Kode KBLI untuk toko elektronik apa ya?,cari kode,toko elektronik,KBLI,null
300,Resep smoothie sehat untuk sarapan?,lainnya,null,null,null
301,Bagaimana cara mengetahui apakah suatu usaha perlu menggunakan KBJI?,lainnya,null,KBJI,null
302,Kode KBLI buat usaha pabrik sepatu apa?,cari kode,usaha pabrik sepatu,KBLI,null
303,KBJI ada di peraturan pemerintah nggak?,lainnya,null,KBJI,null
304,Kode pos Jakarta Pusat berapa ya?,lainnya,null,null,null
305,Apa itu cloud computing?,lainnya,null,null,null
306,Jenis pekerjaan apa yang tidak termasuk dalam KBJI?,lainnya,null,KBJI,null
307,Apa saja manfaat dari vitamin C?,lainnya,null,null,null
308,Apa saja pekerjaan yang termasuk dalam KBJI 9876 di galaksi lain?,jelaskan kode,9876 di galaksi lain,KBJI,4
309,Kode KBJI buat peternak ikan ada nggak?,cari kode,peternak ikan,KBJI,null
310,Gimana cara upgrade RAM di laptop?,lainnya,null,null,null
311,Apa saja yang termasuk dalam kode KBJI 6111?,jelaskan kode,6111,KBJI,4
312,"assistant: <MSG>...penjelasan detil...</MSG>
user: <MSG>Terima kasih banyak</MSG>",lainnya,null,null,null
313,Detail lengkap kode KBLI 86100 apa saja?,jelaskan kode,86100,KBLI,5
314,Detail tentang kode KBLI 62010 apa saja?,jelaskan kode,62010,KBLI,5
315,Kode KBLI buat usaha minimarket apa?,cari kode,usaha minimarket,KBLI,null
316,Gimana cara mengatasi stress?,lainnya,null,null,null
317,"assistant: <MSG>...penjelasan kode KBLI untuk pabrik...</MSG>
user: <MSG>berikan kode 5 digitnya</MSG>",cari kode,pabrik,KBLI,5
318,Kode KBLI buat usaha percetakan gimana?,cari kode,usaha percetakan,KBLI,null
319,"Gue punya usaha katering, gimana cara tau kode KBLI yang pas?",lainnya,null,KBLI,null
320,Bagaimana cara memelihara unicorn?,lainnya,null,null,null
321,Detail tentang kode KBLI 23911 apa saja?,jelaskan kode,23911,KBLI,5
322,Kode KBJI buat pekerjaan instruktur gym?,cari kode,instruktur gym,KBJI,null
323,Gimana cara bikin martabak yang mantap?,lainnya,null,null,null
